OME,AMPL
8.9872000e-01,8.4026159e-03
9.0870843e-01,8.8862320e-03
9.1869002e-01,9.4968219e-03
9.2865895e-01,1.0291247e-02
9.3860240e-01,1.1365379e-02
9.4848873e-01,1.2892223e-02
9.5822889e-01,1.5207154e-02
9.6753817e-01,1.8973914e-02
9.7484348e-01,2.4406012e-02
9.7972552e-01,3.0994149e-02
9.8272128e-01,3.7702838e-02
9.8461977e-01,4.4026745e-02
9.8625602e-01,5.1768172e-02
9.8764113e-01,6.1157807e-02
9.8868033e-01,7.1078338e-02
9.8944953e-01,8.1018610e-02
9.9004004e-01,9.0952358e-02
9.9050629e-01,1.0088815e-01
9.9088262e-01,1.1080345e-01
9.9119174e-01,1.2071652e-01
9.9144922e-01,1.3060052e-01
9.9166613e-01,1.4048129e-01
9.9185050e-01,1.5032547e-01
9.9200836e-01,1.6016666e-01
9.9214426e-01,1.6996384e-01
9.9226177e-01,1.7975896e-01
9.9236366e-01,1.8950245e-01
9.9245215e-01,1.9924533e-01
9.9252906e-01,2.0893032e-01
9.9259585e-01,2.1861330e-01
9.9265373e-01,2.2823427e-01
9.9270371e-01,2.3785064e-01
9.9274665e-01,2.4740172e-01
9.9278327e-01,2.5694527e-01
9.9281419e-01,2.6642068e-01
9.9283994e-01,2.7588526e-01
9.9286098e-01,2.8527927e-01
9.9287770e-01,2.9465881e-01
9.9289047e-01,3.0396575e-01
9.9289960e-01,3.1325425e-01
9.9290535e-01,3.2246850e-01
9.9290797e-01,3.3166004e-01
9.9290817e-01,3.3394205e-01
9.9290817e-01,3.3667196e-01
9.9290783e-01,3.3995223e-01
9.9290697e-01,3.4389503e-01
9.9290529e-01,3.4860086e-01
9.9290236e-01,3.5421007e-01
9.9289761e-01,3.6094087e-01
9.9289020e-01,3.6896759e-01
9.9287986e-01,3.7787056e-01
9.9286746e-01,3.8672192e-01
9.9285313e-01,3.9551038e-01
9.9283699e-01,4.0424112e-01
9.9281914e-01,4.1290978e-01
9.9279968e-01,4.2151438e-01
9.9277872e-01,4.3005802e-01
9.9275634e-01,4.3853103e-01
9.9273262e-01,4.4694451e-01
9.9270765e-01,4.5528057e-01
9.9268150e-01,4.6355882e-01
9.9265424e-01,4.7175266e-01
9.9262594e-01,4.7989070e-01
9.9259667e-01,4.8793714e-01
9.9256649e-01,4.9593005e-01
9.9253546e-01,5.0382399e-01
9.9250365e-01,5.1166695e-01
