OMEGA,AMPL
1.000000000000000000e+00,2.688346026034816802e-02
9.999500000000000055e-01,9.040655457081679669e-02
9.999000000000000110e-01,8.271523856232734784e-02
9.998500000000000165e-01,8.028733831778728236e-02
9.998000000000000220e-01,8.170010458893071925e-02
9.997500000000000275e-01,8.211699151224596815e-02
9.997000000000000330e-01,8.265979836841014228e-02
9.996500000000000385e-01,8.321254242753203800e-02
9.996000000000000441e-01,8.377048324788921585e-02
9.995500000000000496e-01,8.434076106123593319e-02
9.995000000000000551e-01,8.492260579462995729e-02
9.994500000000000606e-01,8.551752937405773802e-02
9.994000000000000661e-01,8.612668582476487589e-02
9.993500000000000716e-01,8.675157668453752080e-02
9.993000000000000771e-01,8.739405193212652911e-02
9.992500000000000826e-01,8.805645719345121802e-02
9.992000000000000881e-01,8.874178247266953368e-02
9.991500000000000936e-01,8.945383132348928845e-02
9.991000000000000991e-01,9.019740659047384423e-02
9.990500000000001046e-01,9.097850181236201428e-02
9.990000000000001101e-01,9.180447569807168029e-02
9.989500000000001156e-01,9.268417336767199866e-02
9.989000000000001211e-01,9.363274470814460237e-02
9.988500000000001267e-01,9.467328853694752244e-02
9.988000000000001322e-01,9.580332169680021159e-02
9.987500000000001377e-01,9.703474644884137190e-02
9.987000000000001432e-01,9.837785080806976667e-02
9.986500000000001487e-01,9.983945258511557619e-02
9.986000000000001542e-01,1.014207192462028978e-01
9.985500000000001597e-01,1.031150187630085896e-01
9.985000000000001652e-01,1.049063785419159511e-01
9.984500000000001707e-01,1.067692727118831897e-01
9.984000000000001762e-01,1.086703770217111037e-01
9.983500000000001817e-01,1.105725064113451395e-01
9.983000000000001872e-01,1.124401986737114389e-01
9.982500000000001927e-01,1.142455793268683517e-01
9.982000000000001982e-01,1.159726955701118889e-01
9.981500000000002037e-01,1.176188531384537439e-01
9.981000000000002093e-01,1.191926529051798439e-01
9.980500000000002148e-01,1.207098070615945928e-01
9.980000000000002203e-01,1.221885835030483702e-01
9.979500000000002258e-01,1.236550468908340361e-01
9.979000000000002313e-01,1.251244778243104372e-01
9.978500000000002368e-01,1.265980051020122732e-01
9.978000000000002423e-01,1.280852876631033976e-01
9.977500000000002478e-01,1.295939766580270491e-01
9.977000000000002533e-01,1.311301648982507451e-01
9.976500000000002588e-01,1.326987721762785122e-01
9.976000000000002643e-01,1.343038570162287393e-01
9.975500000000002698e-01,1.359488681303720192e-01
9.975000000000002753e-01,1.376381337978248021e-01
9.974500000000002808e-01,1.394253708995709939e-01
9.974000000000002863e-01,1.412599544710569088e-01
