OMEGA,AMPL
9.849999999999999867e-01,5.272051336203767424e-02
9.850499999999999812e-01,3.277218882018038959e-02
9.850999999999999757e-01,4.528857344799470941e-02
9.851499999999999702e-01,4.572722083791577741e-02
9.851999999999999647e-01,4.548869200581820427e-02
9.852499999999999591e-01,4.579925497198775869e-02
9.852999999999999536e-01,4.617050696069473908e-02
9.853499999999999481e-01,4.652342305379271459e-02
9.853999999999999426e-01,4.688310317861259929e-02
9.854499999999999371e-01,4.724782959843383534e-02
9.854999999999999316e-01,4.761519685950562492e-02
9.855499999999999261e-01,4.798470877824491387e-02
9.855999999999999206e-01,4.835577177698634210e-02
9.856499999999999151e-01,4.872795250600901740e-02
9.856999999999999096e-01,4.910085330785835672e-02
9.857499999999999041e-01,4.947403605757590833e-02
9.857999999999998986e-01,4.984695527344396720e-02
9.858499999999998931e-01,5.021888970443768446e-02
9.858999999999998876e-01,5.058886972237320451e-02
9.859499999999998820e-01,5.095559912948700865e-02
9.859999999999998765e-01,5.131736801559683148e-02
9.860499999999998710e-01,5.167196043680687134e-02
9.860999999999998655e-01,5.201656153835054752e-02
9.861499999999998600e-01,5.234767761425013904e-02
9.861999999999998545e-01,5.266186976321786395e-02
9.862499999999998490e-01,5.297020535297491950e-02
9.862999999999998435e-01,5.327374933131050899e-02
9.863499999999998380e-01,5.355475098524454386e-02
9.863999999999998325e-01,5.379783051719010806e-02
9.864499999999998270e-01,5.399676602495832173e-02
9.864999999999998215e-01,5.414708734915498617e-02
9.865499999999998160e-01,5.424753222690487792e-02
9.865999999999998105e-01,5.430159807660399351e-02
9.866499999999998050e-01,5.431878206579305451e-02
9.866999999999997994e-01,5.431494336130431033e-02
9.867499999999997939e-01,5.431123243923013238e-02
9.867999999999997884e-01,5.433134475337381142e-02
9.868499999999997829e-01,5.439749038794240016e-02
9.868999999999997774e-01,5.452620731058061693e-02
9.869499999999997719e-01,5.472553268374624053e-02
9.869999999999997664e-01,5.499466147937038391e-02
9.870499999999997609e-01,5.532609576580551497e-02
9.870999999999997554e-01,5.572578945061661820e-02
9.871499999999997499e-01,5.619367051261849738e-02
9.871999999999997444e-01,5.668629017100612622e-02
9.872499999999997389e-01,5.719685960296926053e-02
9.872999999999997334e-01,5.772064708010240380e-02
9.873499999999997279e-01,5.825442645779967815e-02
9.873999999999997224e-01,5.879603256181752113e-02
9.874499999999997168e-01,5.934402725083489510e-02
9.874999999999997113e-01,5.989745138214681852e-02
9.875499999999997058e-01,6.045564054527073627e-02
9.875999999999997003e-01,6.101808474639471708e-02
9.876499999999996948e-01,6.158431594784781471e-02
9.876999999999996893e-01,6.215381118635149998e-02
9.877499999999996838e-01,6.272590218828115460e-02
9.877999999999996783e-01,6.329968404587478503e-02
9.878499999999996728e-01,6.387391675650921918e-02
9.878999999999996673e-01,6.444691718979743411e-02
9.879499999999996618e-01,6.501643839281280590e-02
9.879999999999996563e-01,6.560222365092707730e-02
9.880499999999996508e-01,6.618298864720265073e-02
9.880999999999996453e-01,6.675212246231597424e-02
9.881499999999996398e-01,6.730388522563672538e-02
9.881999999999996342e-01,6.783385404003867969e-02
9.882499999999996287e-01,6.835070505063788049e-02
9.882999999999996232e-01,6.882846146012923383e-02
9.883499999999996177e-01,6.925779468687946749e-02
9.883999999999996122e-01,6.963050379206509044e-02
9.884499999999996067e-01,6.994094942332992892e-02
9.884999999999996012e-01,7.018809025718464323e-02
9.885499999999995957e-01,7.037761562999272913e-02
9.885999999999995902e-01,7.052357975557274616e-02
9.886499999999995847e-01,7.064873242521237107e-02
9.886999999999995792e-01,7.078278813004533487e-02
9.887499999999995737e-01,7.095836580255239501e-02
9.887999999999995682e-01,7.120526657169790052e-02
9.888499999999995627e-01,7.154478158025323609e-02
9.888999999999995572e-01,7.198616465481548488e-02
9.889499999999995516e-01,7.252670449781400963e-02
9.889999999999995461e-01,7.315514170241695091e-02
9.890499999999995406e-01,7.386261243463453086e-02
9.890999999999995351e-01,7.464333524938993047e-02
9.891499999999995296e-01,7.546786503913918698e-02
9.891999999999995241e-01,7.632739419862376307e-02
9.892499999999995186e-01,7.721572629052737835e-02
9.892999999999995131e-01,7.812862115973059907e-02
9.893499999999995076e-01,7.906325187513954522e-02
9.893999999999995021e-01,8.001778524403345416e-02
9.894499999999994966e-01,8.099106222425593582e-02
9.894999999999994911e-01,8.198235336524518913e-02
9.895499999999994856e-01,8.299116598131840716e-02
9.895999999999994801e-01,8.401708236551026776e-02
9.896499999999994746e-01,8.505961315528791367e-02
9.896999999999994690e-01,8.611805251762852387e-02
9.897499999999994635e-01,8.719132334572141096e-02
9.897999999999994580e-01,8.827780320934114355e-02
9.898499999999994525e-01,8.937512437288569478e-02
9.898999999999994470e-01,9.047994384067274687e-02
9.899499999999994415e-01,9.158768628456015470e-02
9.899999999999994360e-01,9.269227748693331659e-02
9.900499999999994305e-01,9.378589770847389762e-02
9.900999999999994250e-01,9.485882264845044154e-02
9.901499999999994195e-01,9.591359986943853722e-02
9.901999999999994140e-01,9.693192330790013911e-02
9.902499999999994085e-01,9.789225004547415232e-02
9.902999999999994030e-01,9.878096150101628448e-02
9.903499999999993975e-01,9.958757484457053666e-02
9.903999999999993920e-01,1.003080532630204053e-01
9.904499999999993864e-01,1.009485929515401281e-01
9.904999999999993809e-01,1.015289921604532464e-01
9.905499999999993754e-01,1.020842000537812710e-01
9.905999999999993699e-01,1.026624899003991953e-01
9.906499999999993644e-01,1.033193249678688586e-01
9.906999999999993589e-01,1.041075844182157706e-01
9.907499999999993534e-01,1.050669265930360557e-01
9.907999999999993479e-01,1.062164042565698491e-01
9.908499999999993424e-01,1.075536134440814307e-01
9.908999999999993369e-01,1.090605098990860278e-01
9.909499999999993314e-01,1.107237035282141874e-01
9.909999999999993259e-01,1.125188431844314912e-01
9.910499999999993204e-01,1.144143572147029025e-01
9.910999999999993149e-01,1.163978082386321611e-01
9.911499999999993094e-01,1.184614469955845573e-01
9.911999999999993038e-01,1.206009726505392621e-01
9.912499999999992983e-01,1.228145600309469149e-01
9.912999999999992928e-01,1.251021228259197871e-01
9.913499999999992873e-01,1.274647501161606244e-01
9.913999999999992818e-01,1.299042573385967292e-01
9.914499999999992763e-01,1.324227998040530541e-01
9.914999999999992708e-01,1.350224958802099251e-01
9.915499999999992653e-01,1.377050152465222332e-01
9.915999999999992598e-01,1.404710857178525230e-01
9.916499999999992543e-01,1.433198682095815357e-01
9.916999999999992488e-01,1.462481592605702763e-01
9.917499999999992433e-01,1.492493755369159736e-01
9.917999999999992378e-01,1.523123306766361595e-01
9.918499999999992323e-01,1.554198725792627911e-01
9.918999999999992268e-01,1.586301319967686196e-01
9.919499999999992212e-01,1.619369875667162062e-01
9.919999999999992157e-01,1.652277967706272666e-01
9.920499999999992102e-01,1.684404624889514202e-01
9.920999999999992047e-01,1.715307903478611729e-01
9.921499999999991992e-01,1.744737539778624946e-01
9.921999999999991937e-01,1.772889180099886386e-01
9.922499999999991882e-01,1.800714741297370913e-01
9.922999999999991827e-01,1.830169312104572565e-01
9.923499999999991772e-01,1.864183453324703976e-01
9.923999999999991717e-01,1.906159956669955247e-01
9.924499999999991662e-01,1.959049007931896735e-01
9.924999999999991607e-01,2.024522078870967245e-01
9.925499999999991552e-01,2.103249191073945090e-01
9.925999999999991497e-01,2.195331950782820896e-01
9.926499999999991442e-01,2.302178195962172880e-01
