OMEGA,AMPL
1.000000000000000000e+00,2.684192571206482636e-02
9.999500000000000055e-01,9.038959422147237188e-02
9.999000000000000110e-01,8.271854184629122420e-02
9.998500000000000165e-01,8.028524240636025766e-02
9.998000000000000220e-01,8.169763118066702967e-02
9.997500000000000275e-01,8.211496587004601944e-02
9.997000000000000330e-01,8.265759193615114520e-02
9.996500000000000385e-01,8.321033287477183626e-02
9.996000000000000441e-01,8.376822586977292207e-02
9.995500000000000496e-01,8.433845952156575343e-02
9.995000000000000551e-01,8.492025428266948561e-02
9.994500000000000606e-01,8.551512368408042963e-02
9.994000000000000661e-01,8.612422048352526283e-02
9.993500000000000716e-01,8.674904513336310907e-02
9.993000000000000771e-01,8.739144587581508528e-02
9.992500000000000826e-01,8.805376608456867704e-02
9.992000000000000881e-01,8.873899286485943672e-02
9.991500000000000936e-01,8.945092615902419664e-02
9.991000000000000991e-01,9.019436443799996872e-02
9.990500000000001046e-01,9.097529611797090798e-02
9.990000000000001101e-01,9.180107416485150384e-02
9.989500000000001156e-01,9.268053765025033308e-02
9.989000000000001211e-01,9.362874963331326017e-02
9.988500000000001267e-01,9.466896060499491172e-02
9.988000000000001322e-01,9.579861218794590016e-02
9.987500000000001377e-01,9.702961000275089898e-02
9.987000000000001432e-01,9.837225193479301466e-02
9.986500000000001487e-01,9.983337388047323901e-02
9.986000000000001542e-01,1.014141703452696025e-01
9.985500000000001597e-01,1.031080441576915502e-01
9.985000000000001652e-01,1.048990615722247000e-01
9.984500000000001707e-01,1.067617328198345317e-01
9.984000000000001762e-01,1.086627583138385228e-01
9.983500000000001817e-01,1.105649580006004828e-01
9.983000000000001872e-01,1.124328506780914588e-01
9.982500000000001927e-01,1.142385212905208391e-01
9.982000000000001982e-01,1.159659644626624825e-01
9.981500000000002037e-01,1.176124348873310160e-01
9.981000000000002093e-01,1.191864957795463476e-01
9.980500000000002148e-01,1.207038403974257379e-01
9.980000000000002203e-01,1.221827342926612298e-01
9.979500000000002258e-01,1.236491756059982933e-01
9.979000000000002313e-01,1.251186129449471940e-01
9.978500000000002368e-01,1.265921034220326979e-01
9.978000000000002423e-01,1.280793149449847568e-01
9.977500000000002478e-01,1.295879057560971881e-01
9.977000000000002533e-01,1.311239740773475215e-01
9.976500000000002588e-01,1.326924437175320826e-01
9.976000000000002643e-01,1.342973761012377365e-01
9.975500000000002698e-01,1.359422219598718506e-01
9.975000000000002753e-01,1.376310945904064276e-01
9.974500000000002808e-01,1.394181486330123565e-01
9.974000000000002863e-01,1.412525382119338424e-01
9.973500000000002919e-01,1.431369942849719523e-01
9.973000000000002974e-01,1.450742809529143307e-01
9.972500000000003029e-01,1.470672856156443331e-01
9.972000000000003084e-01,1.491191086748600569e-01
9.971500000000003139e-01,1.512331502128000382e-01
9.971000000000003194e-01,1.534132039032157779e-01
9.970500000000003249e-01,1.556635515378875512e-01
9.970000000000003304e-01,1.579890620462010287e-01
9.969500000000003359e-01,1.603952914200350577e-01
9.969000000000003414e-01,1.628885785639096473e-01
9.968500000000003469e-01,1.654761277557947052e-01
9.968000000000003524e-01,1.681660684153437335e-01
9.967500000000003579e-01,1.709674781023652612e-01
9.967000000000003634e-01,1.738903435903562944e-01
9.966500000000003689e-01,1.769454486661086734e-01
9.966000000000003745e-01,1.801441563535647050e-01
9.965500000000003800e-01,1.834980748871294642e-01
9.965000000000003855e-01,1.870339722598948207e-01
9.964500000000003910e-01,1.907493148607468936e-01
9.964000000000003965e-01,1.946512359589346319e-01
9.963500000000004020e-01,1.987461153468234876e-01
9.963000000000004075e-01,2.030372116751303635e-01
9.962500000000004130e-01,2.075240054700944470e-01
9.962000000000004185e-01,2.122017502154680824e-01
9.961500000000004240e-01,2.170613251050018400e-01
9.961000000000004295e-01,2.220894681635950940e-01
9.960500000000004350e-01,2.272694028682215317e-01
9.960000000000004405e-01,2.325818174591068321e-01
9.959500000000004460e-01,2.380060898939419245e-01
9.959000000000004515e-01,2.435215933991515813e-01
9.958500000000004571e-01,2.491089138212517762e-01
9.958000000000004626e-01,2.547508123151593362e-01
9.957500000000004681e-01,2.604328301323158845e-01
9.957000000000004736e-01,2.661435042081253810e-01
9.956500000000004791e-01,2.718742250706508434e-01
9.956000000000004846e-01,2.777015359663952965e-01
