OMEGA,AMPL
9.699999999999999734e-01,6.210772581392644959e-02
9.700499999999999678e-01,3.387645713623385624e-02
9.700999999999999623e-01,1.845750126417903050e-02
9.701499999999999568e-01,2.094945878930766850e-02
9.701999999999999513e-01,2.060842141119854226e-02
9.702499999999999458e-01,2.074543909711702369e-02
9.702999999999999403e-01,2.081068508608058254e-02
9.703499999999999348e-01,2.088636856403165362e-02
9.703999999999999293e-01,2.095630584178560796e-02
9.704499999999999238e-01,2.102426487999459193e-02
9.704999999999999183e-01,2.108870422161008076e-02
9.705499999999999128e-01,2.114933504320413993e-02
9.705999999999999073e-01,2.120540051150504243e-02
9.706499999999999018e-01,2.125601854465643606e-02
9.706999999999998963e-01,2.130011552851483053e-02
9.707499999999998908e-01,2.134524042089662801e-02
9.707999999999998852e-01,2.139146951795906776e-02
9.708499999999998797e-01,2.142861694437177625e-02
9.708999999999998742e-01,2.145408929473499593e-02
9.709499999999998687e-01,2.146589342102601591e-02
9.709999999999998632e-01,2.146228802548138734e-02
9.710499999999998577e-01,2.144214853587329481e-02
9.710999999999998522e-01,2.140542406701010161e-02
9.711499999999998467e-01,2.135361976025548433e-02
9.711999999999998412e-01,2.129017549270318874e-02
9.712499999999998357e-01,2.122056047384704436e-02
9.712999999999998302e-01,2.115190296507836118e-02
9.713499999999998247e-01,2.109207078080988992e-02
9.713999999999998192e-01,2.104832260820065776e-02
9.714499999999998137e-01,2.102589811181894072e-02
9.714999999999998082e-01,2.102705885974018307e-02
9.715499999999998026e-01,2.105098105628762373e-02
9.715999999999997971e-01,2.110911389994752155e-02
9.716499999999997916e-01,2.119055780756295970e-02
9.716999999999997861e-01,2.127969569838033745e-02
9.717499999999997806e-01,2.137319894521154395e-02
9.717999999999997751e-01,2.146876936891875184e-02
9.718499999999997696e-01,2.156489595497187300e-02
9.718999999999997641e-01,2.166061076793653062e-02
9.719499999999997586e-01,2.175530525303474502e-02
9.719999999999997531e-01,2.184860043521243828e-02
9.720499999999997476e-01,2.194025561767349447e-02
9.720999999999997421e-01,2.203010394154430659e-02
9.721499999999997366e-01,2.211800576207591587e-02
9.721999999999997311e-01,2.220381309013896853e-02
9.722499999999997256e-01,2.228734057861352438e-02
9.722999999999997200e-01,2.236833964382586859e-02
9.723499999999997145e-01,2.244647354987743676e-02
9.723999999999997090e-01,2.252129210361024370e-02
9.724499999999997035e-01,2.259220541250361522e-02
9.724999999999996980e-01,2.265845734643382250e-02
9.725499999999996925e-01,2.271910075694191095e-02
9.725999999999996870e-01,2.277297871185630235e-02
9.726499999999996815e-01,2.282504526974005535e-02
9.726999999999996760e-01,2.287833973806669904e-02
9.727499999999996705e-01,2.292372743850549718e-02
9.727999999999996650e-01,2.295670579997879587e-02
9.728499999999996595e-01,2.297507811483436718e-02
9.728999999999996540e-01,2.297687961896051345e-02
9.729499999999996485e-01,2.296076018778985678e-02
9.729999999999996430e-01,2.292647222126491940e-02
9.730499999999996374e-01,2.287539838349967464e-02
9.730999999999996319e-01,2.281098766379997811e-02
9.731499999999996264e-01,2.273890886869883027e-02
9.731999999999996209e-01,2.266672100839279072e-02
9.732499999999996154e-01,2.260294977587209639e-02
9.732999999999996099e-01,2.255566779274289016e-02
9.733499999999996044e-01,2.253094534491505152e-02
9.733999999999995989e-01,2.253171791755811601e-02
9.734499999999995934e-01,2.255753660289724211e-02
9.734999999999995879e-01,2.261345084802791894e-02
9.735499999999995824e-01,2.270180669981484989e-02
9.735999999999995769e-01,2.279961305500761634e-02
9.736499999999995714e-01,2.290307936480727793e-02
9.736999999999995659e-01,2.300953635821814322e-02
9.737499999999995604e-01,2.311720081837859847e-02
9.737999999999995548e-01,2.322491291440298075e-02
9.738499999999995493e-01,2.333193141510396182e-02
9.738999999999995438e-01,2.343778731500592918e-02
9.739499999999995383e-01,2.354218003617142979e-02
9.739999999999995328e-01,2.364490381729902890e-02
9.740499999999995273e-01,2.374579437013002794e-02
9.740999999999995218e-01,2.384468845204996273e-02
9.741499999999995163e-01,2.394139104900018175e-02
9.741999999999995108e-01,2.403564647851325065e-02
9.742499999999995053e-01,2.412711072984927846e-02
9.742999999999994998e-01,2.421532344818805998e-02
9.743499999999994943e-01,2.429967859355189677e-02
9.743999999999994888e-01,2.437939421922465794e-02
9.744499999999994833e-01,2.445348286793982626e-02
9.744999999999994778e-01,2.452072667720444493e-02
9.745499999999994722e-01,2.458214543101644445e-02
9.745999999999994667e-01,2.464492612911806796e-02
9.746499999999994612e-01,2.470250905702928157e-02
9.746999999999994557e-01,2.474716687076935345e-02
9.747499999999994502e-01,2.477645926632707565e-02
9.747999999999994447e-01,2.478810878124008965e-02
9.748499999999994392e-01,2.478038567750171298e-02
9.748999999999994337e-01,2.475261686004567169e-02
9.749499999999994282e-01,2.470576440140753380e-02
9.749999999999994227e-01,2.464294947405424457e-02
9.750499999999994172e-01,2.456972734787316384e-02
9.750999999999994117e-01,2.449388846299610858e-02
9.751499999999994062e-01,2.442462556709538990e-02
9.751999999999994007e-01,2.437110142028521900e-02
9.752499999999993952e-01,2.434073942083909980e-02
9.752999999999993896e-01,2.433780089404798813e-02
9.753499999999993841e-01,2.436281505211641482e-02
9.753999999999993786e-01,2.441309442942445063e-02
9.754499999999993731e-01,2.450620198274537295e-02
9.754999999999993676e-01,2.461364284192291488e-02
9.755499999999993621e-01,2.472887124529947467e-02
9.755999999999993566e-01,2.484860993327909356e-02
9.756499999999993511e-01,2.497062190791796490e-02
9.756999999999993456e-01,2.509342691623097851e-02
9.757499999999993401e-01,2.521606293306601076e-02
9.757999999999993346e-01,2.533791197359060166e-02
9.758499999999993291e-01,2.545857557966253737e-02
9.758999999999993236e-01,2.557778595314864553e-02
9.759499999999993181e-01,2.569534182260882135e-02
9.759999999999993125e-01,2.581106028925201842e-02
9.760499999999993070e-01,2.592473844456182064e-02
9.760999999999993015e-01,2.603612040239687564e-02
9.761499999999992960e-01,2.614486621333680927e-02
9.761999999999992905e-01,2.625052083047129184e-02
9.762499999999992850e-01,2.635248152474794006e-02
9.762999999999992795e-01,2.644996368123083558e-02
9.763499999999992740e-01,2.654196590615330240e-02
9.763999999999992685e-01,2.662723760658598088e-02
9.764499999999992630e-01,2.670425531369303648e-02
9.764999999999992575e-01,2.677801649774964529e-02
9.765499999999992520e-01,2.685248660359115455e-02
9.765999999999992465e-01,2.691423317419744388e-02
9.766499999999992410e-01,2.696011462393351626e-02
9.766999999999992355e-01,2.698747127632008386e-02
9.767499999999992299e-01,2.699405540000098316e-02
9.767999999999992244e-01,2.697854257200836200e-02
9.768499999999992189e-01,2.694115336213358941e-02
9.768999999999992134e-01,2.688428104163837970e-02
9.769499999999992079e-01,2.681294038745818051e-02
9.769999999999992024e-01,2.673479365720673670e-02
9.770499999999991969e-01,2.665953160481180848e-02
9.770999999999991914e-01,2.659754198130621222e-02
9.771499999999991859e-01,2.655808504955806462e-02
9.771999999999991804e-01,2.654750711012311346e-02
9.772499999999991749e-01,2.656815756859413208e-02
9.772999999999991694e-01,2.661845940316565420e-02
9.773499999999991639e-01,2.670331351080859270e-02
9.773999999999991584e-01,2.682116388399158682e-02
9.774499999999991529e-01,2.695020187541541379e-02
9.774999999999991473e-01,2.708621870335506041e-02
9.775499999999991418e-01,2.722625048606107726e-02
9.775999999999991363e-01,2.736829508154455665e-02
9.776499999999991308e-01,2.751102800284989380e-02
9.776999999999991253e-01,2.765358498263022560e-02
9.777499999999991198e-01,2.779540446903469228e-02
9.777999999999991143e-01,2.793611452736923656e-02
9.778499999999991088e-01,2.807545130197019317e-02
9.778999999999991033e-01,2.821319865847697270e-02
9.779499999999990978e-01,2.834914132010210239e-02
9.779999999999990923e-01,2.848302574705034729e-02
9.780499999999990868e-01,2.861452465262671191e-02
9.780999999999990813e-01,2.874320226948056875e-02
9.781499999999990758e-01,2.886847831267358097e-02
9.781999999999990703e-01,2.898958968908666931e-02
9.782499999999990647e-01,2.910555020076652580e-02
9.782999999999990592e-01,2.921511027696186910e-02
9.783499999999990537e-01,2.931672149759595100e-02
9.783999999999990482e-01,2.940872193503186668e-02
9.784499999999990427e-01,2.950160075654510716e-02
9.784999999999990372e-01,2.958758978901958325e-02
9.785499999999990317e-01,2.965756710511420133e-02
9.785999999999990262e-01,2.970846129791304691e-02
9.786499999999990207e-01,2.973741385341462096e-02
9.786999999999990152e-01,2.974226450241009706e-02
9.787499999999990097e-01,2.972218975087267262e-02
9.787999999999990042e-01,2.967842359076496364e-02
9.788499999999989987e-01,2.961490327890544186e-02
9.788999999999989932e-01,2.953932577910769325e-02
9.789499999999989877e-01,2.945923646402606039e-02
9.789999999999989821e-01,2.938826270712226185e-02
9.790499999999989766e-01,2.933703941934255252e-02
9.790999999999989711e-01,2.931474163866596913e-02
9.791499999999989656e-01,2.932661844817691099e-02
9.791999999999989601e-01,2.937331769378245458e-02
9.792499999999989546e-01,2.945154222211202738e-02
9.792999999999989491e-01,2.957217613117915644e-02
9.793499999999989436e-01,2.971723494388460104e-02
9.793999999999989381e-01,2.987330868982134707e-02
9.794499999999989326e-01,3.003629317981138316e-02
9.794999999999989271e-01,3.020333500421534811e-02
9.795499999999989216e-01,3.037250856304832269e-02
9.795999999999989161e-01,3.054253548382745986e-02
9.796499999999989106e-01,3.071257565514707438e-02
9.796999999999989051e-01,3.088207538725422016e-02
9.797499999999988995e-01,3.105065776742870973e-02
9.797999999999988940e-01,3.121804242492409037e-02
9.798499999999988885e-01,3.138398481756809327e-02
9.798999999999988830e-01,3.154822759182827202e-02
9.799499999999988775e-01,3.171045831241312701e-02
9.799999999999988720e-01,3.187026976208201523e-02
9.800499999999988665e-01,3.202711984381813315e-02
9.800999999999988610e-01,3.218028906859073807e-02
9.801499999999988555e-01,3.232883506821643965e-02
9.801999999999988500e-01,3.247154456973621456e-02
9.802499999999988445e-01,3.260688649798781924e-02
9.802999999999988390e-01,3.273297167795645446e-02
9.803499999999988335e-01,3.284938242147984050e-02
9.803999999999988280e-01,3.296567360219740395e-02
9.804499999999988225e-01,3.307006364541768828e-02
9.804999999999988169e-01,3.315527086340949725e-02
9.805499999999988114e-01,3.321780185274443575e-02
9.805999999999988059e-01,3.325455583207330423e-02
9.806499999999988004e-01,3.326343670742353681e-02
9.806999999999987949e-01,3.324412364193028713e-02
9.807499999999987894e-01,3.320666593394944882e-02
9.807999999999987839e-01,3.314847315592085730e-02
9.808499999999987784e-01,3.307391828120397753e-02
9.808999999999987729e-01,3.299427285378628977e-02
9.809499999999987674e-01,3.292278129783340196e-02
9.809999999999987619e-01,3.287999222005744820e-02
9.810499999999987564e-01,3.287869061615709965e-02
9.810999999999987509e-01,3.291725458648755986e-02
9.811499999999987454e-01,3.299495817823835941e-02
9.811999999999987399e-01,3.310707052284189017e-02
9.812499999999987343e-01,3.326725043581132274e-02
9.812999999999987288e-01,3.344824734990050480e-02
9.813499999999987233e-01,3.364107689351608643e-02
9.813999999999987178e-01,3.384149661835223616e-02
